"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02480V03003","Type of Offence","UNIT","VALUE"
"CJA01","Recorded crime incidents","2007","2007","0421","Endangerment with potential for serious harm/death","Number","68"
"CJA01","Recorded crime incidents","2007","2007","0422","Abandoning a child, child neglect and cruelty","Number","554"
"CJA01","Recorded crime incidents","2007","2007","0423","Unseaworthy/dangerous use of boat or ship","Number","1"
"CJA01","Recorded crime incidents","2007","2007","0424","False alarm/interference with aircraft or air transport facilities","Number","21"
"CJA01","Recorded crime incidents","2007","2007","0425","Endangering traffic offences","Number","222"
"CJA01","Recorded crime incidents","2007","2007","05","Kidnapping and related offences","Number","108"
"CJA01","Recorded crime incidents","2007","2007","0511","False imprisonment","Number","93"
"CJA01","Recorded crime incidents","2007","2007","0512","Abduction of person under 16 years of age","Number","15"
"CJA01","Recorded crime incidents","2007","2007","0513","Human trafficking offences","Number","0"
"CJA01","Recorded crime incidents","2007","2007","06","Robbery, extortion and hijacking offences","Number","2205"
"CJA01","Recorded crime incidents","2007","2007","0611","Robbery of an establishment or institution","Number","816"
"CJA01","Recorded crime incidents","2007","2007","0612","Robbery of cash or goods in transit","Number","20"
"CJA01","Recorded crime incidents","2007","2007","0613","Robbery from the person","Number","1283"
"CJA01","Recorded crime incidents","2007","2007","0621","Blackmail or extortion","Number","21"
"CJA01","Recorded crime incidents","2007","2007","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","65"
"CJA01","Recorded crime incidents","2007","2007","07","Burglary and related offences","Number","24016"
"CJA01","Recorded crime incidents","2007","2007","0711","Aggravated burglary","Number","260"
"CJA01","Recorded crime incidents","2007","2007","0712","Burglary (not aggravated)","Number","23456"
"CJA01","Recorded crime incidents","2007","2007","0713","Possession of an article (with intent to burgle, steal, demand)","Number","300"
"CJA01","Recorded crime incidents","2007","2007","08","Theft and related offences","Number","75123"
"CJA01","Recorded crime incidents","2007","2007","081","Theft/taking of vehicle and related offences","Number","13612"
"CJA01","Recorded crime incidents","2007","2007","0821","Theft from person","Number","2908"
"CJA01","Recorded crime incidents","2007","2007","0822","Theft from shop","Number","18766"
"CJA01","Recorded crime incidents","2007","2007","084","Other thefts, handling stolen property","Number","39837"
"CJA01","Recorded crime incidents","2007","2007","09","Fraud, deception and related offences","Number","6274"
"CJA01","Recorded crime incidents","2007","2007","10","Controlled drug offences","Number","18522"
"CJA01","Recorded crime incidents","2007","2007","1011","Importation of drugs","Number","53"
"CJA01","Recorded crime incidents","2007","2007","1012","Cultivation or manufacture of drugs","Number","162"
"CJA01","Recorded crime incidents","2007","2007","1021","Possession of drugs for sale or supply","Number","3579"
"CJA01","Recorded crime incidents","2007","2007","1022","Possession of drugs for personal use","Number","13994"
"CJA01","Recorded crime incidents","2007","2007","103","Other drug offences","Number","734"
"CJA01","Recorded crime incidents","2007","2007","11","Weapons and Explosives Offences","Number","3598"
"CJA01","Recorded crime incidents","2007","2007","111","Explosives, chemical weapons offences","Number","28"
"CJA01","Recorded crime incidents","2007","2007","1121","Discharging a firearm","Number","331"
"CJA01","Recorded crime incidents","2007","2007","1122","Possession of a firearm","Number","415"
"CJA01","Recorded crime incidents","2007","2007","113","Offensive weapons offences (n.e.c.)","Number","2574"
"CJA01","Recorded crime incidents","2007","2007","114","Fireworks offences","Number","250"
"CJA01","Recorded crime incidents","2007","2007","12","Damage to property and to the environment","Number","43276"
"CJA01","Recorded crime incidents","2007","2007","1211","Arson","Number","2101"
"CJA01","Recorded crime incidents","2007","2007","1212","Criminal damage (not arson)","Number","40960"
"CJA01","Recorded crime incidents","2007","2007","1221","Litter offences","Number","215"
"CJA01","Recorded crime incidents","2007","2007","13","Public order and other social code offences","Number","60702"
"CJA01","Recorded crime incidents","2007","2007","131","Disorderly conduct","Number","51343"
"CJA01","Recorded crime incidents","2007","2007","132","Trespass offences","Number","3042"
"CJA01","Recorded crime incidents","2007","2007","133","Liquor licensing offences","Number","4917"
"CJA01","Recorded crime incidents","2007","2007","134","Prostitution offences","Number","110"
"CJA01","Recorded crime incidents","2007","2007","135","Regulated betting/money, collection/trading offences","Number","541"
"CJA01","Recorded crime incidents","2007","2007","136","Social code offences (n.e.c.)","Number","749"
"CJA01","Recorded crime incidents","2007","2007","15","Offences against government, justice procedures and organisation of crime","Number","10917"
"CJA01","Recorded crime incidents","2007","2007","151","Offences against government and its agents","Number","341"
"CJA01","Recorded crime incidents","2007","2007","152","Organisation of crime and conspiracy to commit crime","Number","10"
"CJA01","Recorded crime incidents","2007","2007","153","Perverting the course of justice","Number","192"
"CJA01","Recorded crime incidents","2007","2007","157","Offences while in custody, breach of court orders","Number","10374"
"CJA01","Recorded crime incidents","2008","2008","01","Homicide offences","Number","113"
"CJA01","Recorded crime incidents","2008","2008","0111","Murder","Number","51"
"CJA01","Recorded crime incidents","2008","2008","0112","Manslaughter","Number","14"
"CJA01","Recorded crime incidents","2008","2008","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2008","2008","012","Dangerous driving leading to death","Number","48"
"CJA01","Recorded crime incidents","2008","2008","02","Sexual offences","Number","1270"
"CJA01","Recorded crime incidents","2008","2008","0211","Rape of a male or female","Number","332"
"CJA01","Recorded crime incidents","2008","2008","0212","Defilement of a boy or girl less than 17 years old","Number","79"
"CJA01","Recorded crime incidents","2008","2008","0213","Sexual offence involving mentally impaired person","Number","7"
"CJA01","Recorded crime incidents","2008","2008","0214","Aggravated sexual assault","Number","12"
"CJA01","Recorded crime incidents","2008","2008","0215","Sexual assault (not aggravated)","Number","772"
"CJA01","Recorded crime incidents","2008","2008","022","Other sexual offences","Number","68"
"CJA01","Recorded crime incidents","2008","2008","03","Attempts/threats to murder, assaults, harassments and related offences","Number","19717"
"CJA01","Recorded crime incidents","2008","2008","0311","Murder-attempt","Number","11"
"CJA01","Recorded crime incidents","2008","2008","0313","Threat to kill or cause serious harm","Number","205"
"CJA01","Recorded crime incidents","2008","2008","033","Harassment and related offences","Number","3065"
"CJA01","Recorded crime incidents","2008","2008","034","Assault causing harm, poisoning","Number","3843"
"CJA01","Recorded crime incidents","2008","2008","035","Other assault","Number","12593"
"CJA01","Recorded crime incidents","2008","2008","04","Dangerous or negligent acts","Number","19223"
"CJA01","Recorded crime incidents","2008","2008","0411","Dangerous driving causing serious bodily harm","Number","18"
"CJA01","Recorded crime incidents","2008","2008","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","17558"
"CJA01","Recorded crime incidents","2008","2008","0413","Driving/in charge of a vehicle under the influence of drugs","Number","754"
"CJA01","Recorded crime incidents","2008","2008","0421","Endangerment with potential for serious harm/death","Number","51"
"CJA01","Recorded crime incidents","2008","2008","0422","Abandoning a child, child neglect and cruelty","Number","544"
"CJA01","Recorded crime incidents","2008","2008","0423","Unseaworthy/dangerous use of boat or ship","Number","2"
"CJA01","Recorded crime incidents","2008","2008","0424","False alarm/interference with aircraft or air transport facilities","Number","41"
"CJA01","Recorded crime incidents","2008","2008","0425","Endangering traffic offences","Number","255"
"CJA01","Recorded crime incidents","2008","2008","05","Kidnapping and related offences","Number","75"
"CJA01","Recorded crime incidents","2008","2008","0511","False imprisonment","Number","58"
"CJA01","Recorded crime incidents","2008","2008","0512","Abduction of person under 16 years of age","Number","13"
"CJA01","Recorded crime incidents","2008","2008","0513","Human trafficking offences","Number","4"
"CJA01","Recorded crime incidents","2008","2008","06","Robbery, extortion and hijacking offences","Number","2329"
"CJA01","Recorded crime incidents","2008","2008","0611","Robbery of an establishment or institution","Number","870"
"CJA01","Recorded crime incidents","2008","2008","0612","Robbery of cash or goods in transit","Number","27"
"CJA01","Recorded crime incidents","2008","2008","0613","Robbery from the person","Number","1293"
"CJA01","Recorded crime incidents","2008","2008","0621","Blackmail or extortion","Number","22"
"CJA01","Recorded crime incidents","2008","2008","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","117"
"CJA01","Recorded crime incidents","2008","2008","07","Burglary and related offences","Number","25282"
"CJA01","Recorded crime incidents","2008","2008","0711","Aggravated burglary","Number","328"
"CJA01","Recorded crime incidents","2008","2008","0712","Burglary (not aggravated)","Number","24531"
"CJA01","Recorded crime incidents","2008","2008","0713","Possession of an article (with intent to burgle, steal, demand)","Number","423"
"CJA01","Recorded crime incidents","2008","2008","08","Theft and related offences","Number","76806"
"CJA01","Recorded crime incidents","2008","2008","081","Theft/taking of vehicle and related offences","Number","14458"
"CJA01","Recorded crime incidents","2008","2008","0821","Theft from person","Number","3249"
"CJA01","Recorded crime incidents","2008","2008","0822","Theft from shop","Number","20025"
"CJA01","Recorded crime incidents","2008","2008","084","Other thefts, handling stolen property","Number","39074"
"CJA01","Recorded crime incidents","2008","2008","09","Fraud, deception and related offences","Number","5745"
"CJA01","Recorded crime incidents","2008","2008","10","Controlled drug offences","Number","23352"
"CJA01","Recorded crime incidents","2008","2008","1011","Importation of drugs","Number","67"
"CJA01","Recorded crime incidents","2008","2008","1012","Cultivation or manufacture of drugs","Number","216"
"CJA01","Recorded crime incidents","2008","2008","1021","Possession of drugs for sale or supply","Number","4263"
"CJA01","Recorded crime incidents","2008","2008","1022","Possession of drugs for personal use","Number","18075"
"CJA01","Recorded crime incidents","2008","2008","103","Other drug offences","Number","731"
"CJA01","Recorded crime incidents","2008","2008","11","Weapons and Explosives Offences","Number","4028"
"CJA01","Recorded crime incidents","2008","2008","111","Explosives, chemical weapons offences","Number","47"
"CJA01","Recorded crime incidents","2008","2008","1121","Discharging a firearm","Number","223"
"CJA01","Recorded crime incidents","2008","2008","1122","Possession of a firearm","Number","452"
"CJA01","Recorded crime incidents","2008","2008","113","Offensive weapons offences (n.e.c.)","Number","2973"
"CJA01","Recorded crime incidents","2008","2008","114","Fireworks offences","Number","333"
"CJA01","Recorded crime incidents","2008","2008","12","Damage to property and to the environment","Number","44341"
"CJA01","Recorded crime incidents","2008","2008","1211","Arson","Number","2301"
"CJA01","Recorded crime incidents","2008","2008","1212","Criminal damage (not arson)","Number","41736"
"CJA01","Recorded crime incidents","2008","2008","1221","Litter offences","Number","304"
"CJA01","Recorded crime incidents","2008","2008","13","Public order and other social code offences","Number","62072"
"CJA01","Recorded crime incidents","2008","2008","131","Disorderly conduct","Number","53584"
"CJA01","Recorded crime incidents","2008","2008","132","Trespass offences","Number","3723"
"CJA01","Recorded crime incidents","2008","2008","133","Liquor licensing offences","Number","3849"
"CJA01","Recorded crime incidents","2008","2008","134","Prostitution offences","Number","131"
"CJA01","Recorded crime incidents","2008","2008","135","Regulated betting/money, collection/trading offences","Number","430"
"CJA01","Recorded crime incidents","2008","2008","136","Social code offences (n.e.c.)","Number","355"
"CJA01","Recorded crime incidents","2008","2008","15","Offences against government, justice procedures and organisation of crime","Number","13191"
"CJA01","Recorded crime incidents","2008","2008","151","Offences against government and its agents","Number","340"
"CJA01","Recorded crime incidents","2008","2008","152","Organisation of crime and conspiracy to commit crime","Number","11"
"CJA01","Recorded crime incidents","2008","2008","153","Perverting the course of justice","Number","174"
"CJA01","Recorded crime incidents","2008","2008","157","Offences while in custody, breach of court orders","Number","12666"
"CJA01","Recorded crime incidents","2009","2009","01","Homicide offences","Number","99"
"CJA01","Recorded crime incidents","2009","2009","0111","Murder","Number","53"
"CJA01","Recorded crime incidents","2009","2009","0112","Manslaughter","Number","10"
"CJA01","Recorded crime incidents","2009","2009","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2009","2009","012","Dangerous driving leading to death","Number","36"
"CJA01","Recorded crime incidents","2009","2009","02","Sexual offences","Number","1546"
"CJA01","Recorded crime incidents","2009","2009","0211","Rape of a male or female","Number","363"
"CJA01","Recorded crime incidents","2009","2009","0212","Defilement of a boy or girl less than 17 years old","Number","109"
"CJA01","Recorded crime incidents","2009","2009","0213","Sexual offence involving mentally impaired person","Number","8"
"CJA01","Recorded crime incidents","2009","2009","0214","Aggravated sexual assault","Number","10"
"CJA01","Recorded crime incidents","2009","2009","0215","Sexual assault (not aggravated)","Number","957"
"CJA01","Recorded crime incidents","2009","2009","022","Other sexual offences","Number","99"
"CJA01","Recorded crime incidents","2009","2009","03","Attempts/threats to murder, assaults, harassments and related offences","Number","18917"
"CJA01","Recorded crime incidents","2009","2009","0311","Murder-attempt","Number","7"
"CJA01","Recorded crime incidents","2009","2009","0313","Threat to kill or cause serious harm","Number","227"
"CJA01","Recorded crime incidents","2009","2009","033","Harassment and related offences","Number","2811"
"CJA01","Recorded crime incidents","2009","2009","034","Assault causing harm, poisoning","Number","3718"
"CJA01","Recorded crime incidents","2009","2009","035","Other assault","Number","12154"
"CJA01","Recorded crime incidents","2009","2009","04","Dangerous or negligent acts","Number","15031"
"CJA01","Recorded crime incidents","2009","2009","0411","Dangerous driving causing serious bodily harm","Number","17"
"CJA01","Recorded crime incidents","2009","2009","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","13295"
"CJA01","Recorded crime incidents","2009","2009","0413","Driving/in charge of a vehicle under the influence of drugs","Number","873"
"CJA01","Recorded crime incidents","2009","2009","0421","Endangerment with potential for serious harm/death","Number","65"
"CJA01","Recorded crime incidents","2009","2009","0422","Abandoning a child, child neglect and cruelty","Number","506"
"CJA01","Recorded crime incidents","2009","2009","0423","Unseaworthy/dangerous use of boat or ship","Number","3"
"CJA01","Recorded crime incidents","2009","2009","0424","False alarm/interference with aircraft or air transport facilities","Number","21"
"CJA01","Recorded crime incidents","2009","2009","0425","Endangering traffic offences","Number","251"
"CJA01","Recorded crime incidents","2009","2009","05","Kidnapping and related offences","Number","142"
"CJA01","Recorded crime incidents","2009","2009","0511","False imprisonment","Number","84"
"CJA01","Recorded crime incidents","2009","2009","0512","Abduction of person under 16 years of age","Number","13"
"CJA01","Recorded crime incidents","2009","2009","0513","Human trafficking offences","Number","45"
"CJA01","Recorded crime incidents","2009","2009","06","Robbery, extortion and hijacking offences","Number","2524"
"CJA01","Recorded crime incidents","2009","2009","0611","Robbery of an establishment or institution","Number","1034"
"CJA01","Recorded crime incidents","2009","2009","0612","Robbery of cash or goods in transit","Number","24"
"CJA01","Recorded crime incidents","2009","2009","0613","Robbery from the person","Number","1337"
"CJA01","Recorded crime incidents","2009","2009","0621","Blackmail or extortion","Number","25"
"CJA01","Recorded crime incidents","2009","2009","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","104"
"CJA01","Recorded crime incidents","2009","2009","07","Burglary and related offences","Number","27526"
"CJA01","Recorded crime incidents","2009","2009","0711","Aggravated burglary","Number","370"
"CJA01","Recorded crime incidents","2009","2009","0712","Burglary (not aggravated)","Number","26724"
"CJA01","Recorded crime incidents","2009","2009","0713","Possession of an article (with intent to burgle, steal, demand)","Number","432"
"CJA01","Recorded crime incidents","2009","2009","08","Theft and related offences","Number","76911"
"CJA01","Recorded crime incidents","2009","2009","081","Theft/taking of vehicle and related offences","Number","13316"
"CJA01","Recorded crime incidents","2009","2009","0821","Theft from person","Number","2635"
"CJA01","Recorded crime incidents","2009","2009","0822","Theft from shop","Number","20547"
"CJA01","Recorded crime incidents","2009","2009","084","Other thefts, handling stolen property","Number","40413"
"CJA01","Recorded crime incidents","2009","2009","09","Fraud, deception and related offences","Number","5228"
"CJA01","Recorded crime incidents","2009","2009","10","Controlled drug offences","Number","21865"
"CJA01","Recorded crime incidents","2009","2009","1011","Importation of drugs","Number","46"
"CJA01","Recorded crime incidents","2009","2009","1012","Cultivation or manufacture of drugs","Number","271"
"CJA01","Recorded crime incidents","2009","2009","1021","Possession of drugs for sale or supply","Number","3965"
"CJA01","Recorded crime incidents","2009","2009","1022","Possession of drugs for personal use","Number","16759"
"CJA01","Recorded crime incidents","2009","2009","103","Other drug offences","Number","824"
"CJA01","Recorded crime incidents","2009","2009","11","Weapons and Explosives Offences","Number","4092"
"CJA01","Recorded crime incidents","2009","2009","111","Explosives, chemical weapons offences","Number","48"
"CJA01","Recorded crime incidents","2009","2009","1121","Discharging a firearm","Number","233"
"CJA01","Recorded crime incidents","2009","2009","1122","Possession of a firearm","Number","402"
"CJA01","Recorded crime incidents","2009","2009","113","Offensive weapons offences (n.e.c.)","Number","2980"
"CJA01","Recorded crime incidents","2009","2009","114","Fireworks offences","Number","429"
"CJA01","Recorded crime incidents","2009","2009","12","Damage to property and to the environment","Number","41906"
"CJA01","Recorded crime incidents","2009","2009","1211","Arson","Number","3009"
"CJA01","Recorded crime incidents","2009","2009","1212","Criminal damage (not arson)","Number","38650"
"CJA01","Recorded crime incidents","2009","2009","1221","Litter offences","Number","247"
"CJA01","Recorded crime incidents","2009","2009","13","Public order and other social code offences","Number","57481"
"CJA01","Recorded crime incidents","2009","2009","131","Disorderly conduct","Number","49543"
"CJA01","Recorded crime incidents","2009","2009","132","Trespass offences","Number","3836"
"CJA01","Recorded crime incidents","2009","2009","133","Liquor licensing offences","Number","3265"
"CJA01","Recorded crime incidents","2009","2009","134","Prostitution offences","Number","94"
"CJA01","Recorded crime incidents","2009","2009","135","Regulated betting/money, collection/trading offences","Number","459"
"CJA01","Recorded crime incidents","2009","2009","136","Social code offences (n.e.c.)","Number","284"
"CJA01","Recorded crime incidents","2009","2009","15","Offences against government, justice procedures and organisation of crime","Number","11751"
"CJA01","Recorded crime incidents","2009","2009","151","Offences against government and its agents","Number","531"
"CJA01","Recorded crime incidents","2009","2009","152","Organisation of crime and conspiracy to commit crime","Number","5"
"CJA01","Recorded crime incidents","2009","2009","153","Perverting the course of justice","Number","146"
"CJA01","Recorded crime incidents","2009","2009","157","Offences while in custody, breach of court orders","Number","11069"
"CJA01","Recorded crime incidents","2010","2010","01","Homicide offences","Number","109"
"CJA01","Recorded crime incidents","2010","2010","0111","Murder","Number","54"
"CJA01","Recorded crime incidents","2010","2010","0112","Manslaughter","Number","8"
"CJA01","Recorded crime incidents","2010","2010","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2010","2010","012","Dangerous driving leading to death","Number","47"
"CJA01","Recorded crime incidents","2010","2010","02","Sexual offences","Number","2304"
"CJA01","Recorded crime incidents","2010","2010","0211","Rape of a male or female","Number","470"
"CJA01","Recorded crime incidents","2010","2010","0212","Defilement of a boy or girl less than 17 years old","Number","156"
"CJA01","Recorded crime incidents","2010","2010","0213","Sexual offence involving mentally impaired person","Number","15"
"CJA01","Recorded crime incidents","2010","2010","0214","Aggravated sexual assault","Number","7"
"CJA01","Recorded crime incidents","2010","2010","0215","Sexual assault (not aggravated)","Number","1485"
"CJA01","Recorded crime incidents","2010","2010","022","Other sexual offences","Number","171"
"CJA01","Recorded crime incidents","2010","2010","03","Attempts/threats to murder, assaults, harassments and related offences","Number","18239"
"CJA01","Recorded crime incidents","2010","2010","0311","Murder-attempt","Number","8"
"CJA01","Recorded crime incidents","2010","2010","0313","Threat to kill or cause serious harm","Number","367"
"CJA01","Recorded crime incidents","2010","2010","033","Harassment and related offences","Number","2600"
"CJA01","Recorded crime incidents","2010","2010","034","Assault causing harm, poisoning","Number","3680"
"CJA01","Recorded crime incidents","2010","2010","035","Other assault","Number","11584"
"CJA01","Recorded crime incidents","2010","2010","04","Dangerous or negligent acts","Number","11696"
"CJA01","Recorded crime incidents","2010","2010","0411","Dangerous driving causing serious bodily harm","Number","19"
"CJA01","Recorded crime incidents","2010","2010","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","10309"
"CJA01","Recorded crime incidents","2010","2010","0413","Driving/in charge of a vehicle under the influence of drugs","Number","577"
"CJA01","Recorded crime incidents","2010","2010","0421","Endangerment with potential for serious harm/death","Number","56"
"CJA01","Recorded crime incidents","2010","2010","0422","Abandoning a child, child neglect and cruelty","Number","434"
"CJA01","Recorded crime incidents","2010","2010","0423","Unseaworthy/dangerous use of boat or ship","Number","10"
"CJA01","Recorded crime incidents","2010","2010","0424","False alarm/interference with aircraft or air transport facilities","Number","7"
"CJA01","Recorded crime incidents","2010","2010","0425","Endangering traffic offences","Number","284"
"CJA01","Recorded crime incidents","2010","2010","05","Kidnapping and related offences","Number","132"
"CJA01","Recorded crime incidents","2010","2010","0511","False imprisonment","Number","81"
"CJA01","Recorded crime incidents","2010","2010","0512","Abduction of person under 16 years of age","Number","22"
"CJA01","Recorded crime incidents","2010","2010","0513","Human trafficking offences","Number","29"
"CJA01","Recorded crime incidents","2010","2010","06","Robbery, extortion and hijacking offences","Number","3237"
"CJA01","Recorded crime incidents","2010","2010","0611","Robbery of an establishment or institution","Number","1088"
"CJA01","Recorded crime incidents","2010","2010","0612","Robbery of cash or goods in transit","Number","21"
"CJA01","Recorded crime incidents","2010","2010","0613","Robbery from the person","Number","1983"
"CJA01","Recorded crime incidents","2010","2010","0621","Blackmail or extortion","Number","24"
"CJA01","Recorded crime incidents","2010","2010","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","121"
"CJA01","Recorded crime incidents","2010","2010","07","Burglary and related offences","Number","26122"
"CJA01","Recorded crime incidents","2010","2010","0711","Aggravated burglary","Number","332"
"CJA01","Recorded crime incidents","2010","2010","0712","Burglary (not aggravated)","Number","25281"
"CJA01","Recorded crime incidents","2010","2010","0713","Possession of an article (with intent to burgle, steal, demand)","Number","509"
"CJA01","Recorded crime incidents","2010","2010","08","Theft and related offences","Number","76657"
"CJA01","Recorded crime incidents","2010","2010","081","Theft/taking of vehicle and related offences","Number","11619"
"CJA01","Recorded crime incidents","2010","2010","0821","Theft from person","Number","2821"
"CJA01","Recorded crime incidents","2010","2010","0822","Theft from shop","Number","20775"
"CJA01","Recorded crime incidents","2010","2010","084","Other thefts, handling stolen property","Number","41442"
"CJA01","Recorded crime incidents","2010","2010","09","Fraud, deception and related offences","Number","5510"
"CJA01","Recorded crime incidents","2010","2010","10","Controlled drug offences","Number","19783"
"CJA01","Recorded crime incidents","2010","2010","1011","Importation of drugs","Number","29"
"CJA01","Recorded crime incidents","2010","2010","1012","Cultivation or manufacture of drugs","Number","532"
"CJA01","Recorded crime incidents","2010","2010","1021","Possession of drugs for sale or supply","Number","4096"
"CJA01","Recorded crime incidents","2010","2010","1022","Possession of drugs for personal use","Number","14379"
"CJA01","Recorded crime incidents","2010","2010","103","Other drug offences","Number","747"
"CJA01","Recorded crime incidents","2010","2010","11","Weapons and Explosives Offences","Number","4116"
"CJA01","Recorded crime incidents","2010","2010","111","Explosives, chemical weapons offences","Number","42"
"CJA01","Recorded crime incidents","2010","2010","1121","Discharging a firearm","Number","179"
"CJA01","Recorded crime incidents","2010","2010","1122","Possession of a firearm","Number","407"
"CJA01","Recorded crime incidents","2010","2010","113","Offensive weapons offences (n.e.c.)","Number","3027"
"CJA01","Recorded crime incidents","2010","2010","114","Fireworks offences","Number","461"
"CJA01","Recorded crime incidents","2010","2010","12","Damage to property and to the environment","Number","38791"
"CJA01","Recorded crime incidents","2010","2010","1211","Arson","Number","2573"
"CJA01","Recorded crime incidents","2010","2010","1212","Criminal damage (not arson)","Number","35981"
"CJA01","Recorded crime incidents","2010","2010","1221","Litter offences","Number","237"
"CJA01","Recorded crime incidents","2010","2010","13","Public order and other social code offences","Number","54850"
"CJA01","Recorded crime incidents","2010","2010","131","Disorderly conduct","Number","47294"
"CJA01","Recorded crime incidents","2010","2010","132","Trespass offences","Number","3810"
"CJA01","Recorded crime incidents","2010","2010","133","Liquor licensing offences","Number","2762"
"CJA01","Recorded crime incidents","2010","2010","134","Prostitution offences","Number","184"
"CJA01","Recorded crime incidents","2010","2010","135","Regulated betting/money, collection/trading offences","Number","423"
"CJA01","Recorded crime incidents","2010","2010","136","Social code offences (n.e.c.)","Number","377"
"CJA01","Recorded crime incidents","2010","2010","15","Offences against government, justice procedures and organisation of crime","Number","11195"
"CJA01","Recorded crime incidents","2010","2010","151","Offences against government and its agents","Number","335"
"CJA01","Recorded crime incidents","2010","2010","152","Organisation of crime and conspiracy to commit crime","Number","18"
"CJA01","Recorded crime incidents","2010","2010","153","Perverting the course of justice","Number","99"
"CJA01","Recorded crime incidents","2010","2010","157","Offences while in custody, breach of court orders","Number","10743"
"CJA01","Recorded crime incidents","2011","2011","01","Homicide offences","Number","79"
"CJA01","Recorded crime incidents","2011","2011","0111","Murder","Number","42"
"CJA01","Recorded crime incidents","2011","2011","0112","Manslaughter","Number","10"
"CJA01","Recorded crime incidents","2011","2011","0113","Infanticide","Number","0"
"CJA01","Recorded crime incidents","2011","2011","012","Dangerous driving leading to death","Number","27"
"CJA01","Recorded crime incidents","2011","2011","02","Sexual offences","Number","1958"
"CJA01","Recorded crime incidents","2011","2011","0211","Rape of a male or female","Number","447"
"CJA01","Recorded crime incidents","2011","2011","0212","Defilement of a boy or girl less than 17 years old","Number","144"
"CJA01","Recorded crime incidents","2011","2011","0213","Sexual offence involving mentally impaired person","Number","14"
"CJA01","Recorded crime incidents","2011","2011","0214","Aggravated sexual assault","Number","9"
"CJA01","Recorded crime incidents","2011","2011","0215","Sexual assault (not aggravated)","Number","1193"
"CJA01","Recorded crime incidents","2011","2011","022","Other sexual offences","Number","151"
"CJA01","Recorded crime incidents","2011","2011","03","Attempts/threats to murder, assaults, harassments and related offences","Number","17168"
"CJA01","Recorded crime incidents","2011","2011","0311","Murder-attempt","Number","8"
"CJA01","Recorded crime incidents","2011","2011","0313","Threat to kill or cause serious harm","Number","393"
"CJA01","Recorded crime incidents","2011","2011","033","Harassment and related offences","Number","2090"
"CJA01","Recorded crime incidents","2011","2011","034","Assault causing harm, poisoning","Number","3541"
"CJA01","Recorded crime incidents","2011","2011","035","Other assault","Number","11136"
"CJA01","Recorded crime incidents","2011","2011","04","Dangerous or negligent acts","Number","9686"
"CJA01","Recorded crime incidents","2011","2011","0411","Dangerous driving causing serious bodily harm","Number","13"
"CJA01","Recorded crime incidents","2011","2011","0412","Driving/in charge of a vehicle while over legal alcohol limit","Number","8741"
"CJA01","Recorded crime incidents","2011","2011","0413","Driving/in charge of a vehicle under the influence of drugs","Number","421"
"CJA01","Recorded crime incidents","2011","2011","0421","Endangerment with potential for serious harm/death","Number","101"
"CJA01","Recorded crime incidents","2011","2011","0422","Abandoning a child, child neglect and cruelty","Number","197"
"CJA01","Recorded crime incidents","2011","2011","0423","Unseaworthy/dangerous use of boat or ship","Number","3"
"CJA01","Recorded crime incidents","2011","2011","0424","False alarm/interference with aircraft or air transport facilities","Number","5"
"CJA01","Recorded crime incidents","2011","2011","0425","Endangering traffic offences","Number","205"
"CJA01","Recorded crime incidents","2011","2011","05","Kidnapping and related offences","Number","115"
"CJA01","Recorded crime incidents","2011","2011","0511","False imprisonment","Number","77"
"CJA01","Recorded crime incidents","2011","2011","0512","Abduction of person under 16 years of age","Number","13"
"CJA01","Recorded crime incidents","2011","2011","0513","Human trafficking offences","Number","25"
"CJA01","Recorded crime incidents","2011","2011","06","Robbery, extortion and hijacking offences","Number","2953"
"CJA01","Recorded crime incidents","2011","2011","0611","Robbery of an establishment or institution","Number","1075"
"CJA01","Recorded crime incidents","2011","2011","0612","Robbery of cash or goods in transit","Number","42"
"CJA01","Recorded crime incidents","2011","2011","0613","Robbery from the person","Number","1712"
"CJA01","Recorded crime incidents","2011","2011","0621","Blackmail or extortion","Number","24"
"CJA01","Recorded crime incidents","2011","2011","0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","100"
"CJA01","Recorded crime incidents","2011","2011","07","Burglary and related offences","Number","28211"
"CJA01","Recorded crime incidents","2011","2011","0711","Aggravated burglary","Number","334"
"CJA01","Recorded crime incidents","2011","2011","0712","Burglary (not aggravated)","Number","27247"
"CJA01","Recorded crime incidents","2011","2011","0713","Possession of an article (with intent to burgle, steal, demand)","Number","630"
"CJA01","Recorded crime incidents","2011","2011","08","Theft and related offences","Number","76659"
"CJA01","Recorded crime incidents","2011","2011","081","Theft/taking of vehicle and related offences","Number","10480"
"CJA01","Recorded crime incidents","2011","2011","0821","Theft from person","Number","3643"
